티커,설명,가격,변화 %,변화,테크니컬 레이팅,거래량,볼륨*프라이스,마켓 캪,주가 수익 비율 (TTM),기초 주당 수익 (TTM),직원수,섹터
095700,제넥신,22200,-0.2247191,-50,뉴트럴,55126,1223797200,688461312294,,-1883.3805,,헬쓰 테크놀로지
002350,넥센타이어보통주,6960,0.43290043,30,셀,94933,660733680,685262564774,,-568.3126,4079,콘슈머 듀어러블즈
344820,케이씨씨글라스보통주,42300,-1.3986014,-600,뉴트럴,18998,803615400,683968971634,,5848.2144,1823,프로세스 인더스트리
010050,우리종합금융보통주,768,-1.41206675,-11,셀,1104782,848472576,680950649597,,93.4777,,파이낸스
298040,효성중공업보통주,73500,0.68493151,500,바이,97117,7138099500,679757083893,20.48726864,3563.1885,3125,프로듀서 매뉴팩처링
192650,드림텍보통주,9900,-1.98019802,-200,셀,170273,1685702700,679714234161,7.39827771,1383.8336,486,일렉트로닉 테크놀로지
284740,쿠쿠홈시스보통주,30850,1.81518152,550,바이,23538,726147300,679398127556,5.38419453,5627.5827,624,콘슈머 듀어러블즈
084850,아이티엠반도체,30450,-0.81433225,-250,바이,18514,563751300,676297306061,1027.51532069,29.8779,320,일렉트로닉 테크놀로지
192820,코스맥스보통주,59000,0.51107325,300,바이,62988,3716292000,665986335659,12.50106616,4695.5995,1164,컨슈머 논-듀어러블즈
005880,대한해운보통주,2170,1.40186916,30,뉴트럴,510059,1106828030,665093557129,2.3095087,926.604,171,이송/배달
003030,세아제강지주보통주,158000,-3.95136778,-6500,바이,28703,4535074000,664655844927,2.89944017,56735.0903,36,비에너지 미네럴
001430,세아베스틸지주보통주,18800,1.07526882,200,스트롱 바이,220074,4137391200,660959156799,4.45368694,4176.3151,1547,비에너지 미네럴
381970,케이카보통주,13400,-2.18978102,-300,셀,94727,1269341800,658785496521,,685.3564,1102,리테일 트레이드
095500,미래나노텍,23900,-3.2388664,-800,바이,2079811,49707482900,654841855812,76.10171873,346.751,362,일렉트로닉 테크놀로지
376300,디어유,28200,-0.35335689,-100,뉴트럴,51172,1443050400,654585000000,,,58,테크놀로지 서비스
006120,에스케이디스커버리보통주,30850,-4.48916409,-1450,셀,373484,11521981400,654561861789,3.13853768,10291.417,43,헬쓰 테크놀로지
214450,파마리서치,66000,1.38248848,900,바이,66081,4361346000,649431939411,15.32912443,4246.8179,270,헬쓰 테크놀로지
068240,다원시스,18950,0,0,바이,240144,4550728800,647876329613,,-2483.4108,630,프로듀서 매뉴팩처링
009970,영원무역홀딩스보통주,55300,-0.71813285,-400,바이,17518,968745400,646392843819,1.68042742,33146.3289,50,디스트리뷰션 서비스
