티커,설명,가격,변화 %,변화,테크니컬 레이팅,거래량,볼륨*프라이스,마켓 캪,주가 수익 비율 (TTM),기초 주당 수익 (TTM),직원수,섹터
036930,주성엔지니어링,12950,-0.38461538,-50,뉴트럴,730936,9465621200,627239734650,,3019.4338,,프로듀서 매뉴팩처링
189300,인텔리안테크놀로지스,69900,-0.56899004,-400,바이,119865,8378563500,627045969963,36.53547452,1926.1573,352,일렉트로닉 테크놀로지
101490,에스앤에스텍,29400,-2.3255814,-700,바이,300705,8840727000,626991092682,52.56323479,572.6436,218,일렉트로닉 테크놀로지
003240,태광산업보통주,741000,-0.269179,-2000,뉴트럴,646,478686000,625331829488,9.5326098,77942.9784,1451,에너지 미네랄
011000,진원생명과학보통주,7780,-3.23383085,-260,셀,497280,3868838400,623722481689,,-311.3062,56,헬쓰 테크놀로지
105630,한세실업보통주,15750,-0.63091483,-100,뉴트럴,257192,4050774000,621945561790,6.01381478,2635.5983,561,컨슈머 논-듀어러블즈
323990,박셀바이오,40000,-1.8404908,-750,셀,266801,10672040000,620337232590,,-372.2771,54,헬쓰 테크놀로지
218410,알에프에이치아이씨,23200,-0.21505376,-50,바이,87820,2037424000,616584467411,185.08832893,126.6467,290,일렉트로닉 테크놀로지
005690,파미셀보통주,10150,-0.97560976,-100,셀,273259,2773578850,615041172981,47.59983078,215.3369,121,헬쓰 테크놀로지
241590,화승엔터프라이즈보통주,10250,0.98522167,100,뉴트럴,169706,1739486500,614981183624,,-78.0265,6,컨슈머 논-듀어러블즈
290510,코리아센터,5360,0.18691589,10,바이,111797,599231920,608576051331,107.30991102,55.9574,,테크놀로지 서비스
005440,현대그린푸드보통주,6950,0,0,뉴트럴,194281,1350252950,606783114243,,467.0759,5945,콘슈머 듀어러블즈
025540,한국단자공업보통주,58100,-1.19047619,-700,뉴트럴,22579,1311839900,606521975327,14.26578551,4121.7499,1105,일렉트로닉 테크놀로지
205470,휴마시스,17150,-4.18994413,-750,셀,1312027,22501263050,606463354111,2.03387712,8800.925,182,헬쓰 테크놀로지
178320,서진시스템,15850,-1.55279503,-250,바이,435535,6903229750,605048286057,38.01964411,423.4653,,일렉트로닉 테크놀로지
272290,이녹스첨단소재,29250,-2.17391304,-650,뉴트럴,168130,4917802500,601757175255,,5733.2921,704,일렉트로닉 테크놀로지
004490,세방전지보통주,48300,7.57238307,3400,바이,292067,14106836100,601751146603,11.46400472,3916.6069,1137,프로듀서 매뉴팩처링
003530,한화투자증권보통주,2635,-0.75329567,-20,뉴트럴,369314,973142390,591135889292,6.469932,410.2286,,파이낸스
005610,SPC삼립보통주,71900,-1.10041265,-800,셀,15058,1082670200,589249690437,12.30670558,5907.3486,2848,컨슈머 논-듀어러블즈
290650,엘앤씨바이오,25750,-0.77071291,-200,뉴트럴,201652,5192539000,588672914886,46.98272249,552.3307,,헬쓰 테크놀로지
287410,제이시스메디칼,8190,-0.12195122,-10,바이,646961,5298610590,583581034851,20.66272932,414.3196,181,헬쓰 테크놀로지
013890,지누스보통주,35350,1,350,뉴트럴,38786,1371085100,583279571533,,2607.3408,142,디스트리뷰션 서비스
294090,이오플로우,19400,1.30548303,250,바이,80103,1553998200,580312448406,,-1374.7758,108,일렉트로닉 테크놀로지
403550,쏘카보통주,17000,-3.13390313,-550,셀,170515,2898755000,574335000000,,,,테크놀로지 서비스
095340,아이에스시,34800,1.1627907,400,바이,337905,11759094000,573331211853,12.04816956,2927.0437,206,일렉트로닉 테크놀로지
084370,유진테크,25750,1.17878193,300,바이,228327,5879420250,570649388218,8.95144623,2843.116,297,프로듀서 매뉴팩처링
020000,한섬보통주,26050,0.57915058,150,뉴트럴,39753,1035565650,569012459946,,5428.5427,1545,컨슈머 논-듀어러블즈
057050,현대홈쇼핑보통주,48750,-1.71370968,-850,뉴트럴,12018,585877500,567808404541,8.11481853,6112.2747,1013,리테일 트레이드
007340,디엔오토모티브보통주,65500,-0.45592705,-300,바이,26024,1704572000,567072622490,,21054.2849,1167,프로듀서 매뉴팩처링
053800,안랩,65900,1.07361963,700,바이,108239,7132950100,566313076782,,1336.7905,1241,테크놀로지 서비스
034120,에스비에스보통주,32450,1.56494523,500,바이,26064,845776800,565197710896,4.55719082,7010.898,973,컨슈머 서비스
067310,하나마이크론,11350,-3.40425532,-400,뉴트럴,921449,10458446150,563081807137,14.46775826,840.6664,845,일렉트로닉 테크놀로지
025770,한국정보통신,14900,-3.24675325,-500,바이,613251,9137439900,561947729492,36.47988099,422.1505,,파이낸스
363280,티와이홀딩스보통주,12300,2.92887029,350,바이,98531,1211931300,560872673798,3.71683838,3215.0981,15,일렉트로닉 테크놀로지
082740,에이치에스디엔진보통주,7640,-2.05128205,-160,바이,614473,4694573720,557984632874,,-1139.442,756,프로듀서 매뉴팩처링
348210,넥스틴,55000,-1.78571429,-1000,바이,116070,6383850000,557573722839,18.75560261,3126.1093,59,일렉트로닉 테크놀로지
003000,부광약품보통주,8120,0.61957869,50,바이,376016,3053249920,552429217300,22510.46025105,0.3585,608,헬쓰 테크놀로지
003470,유안타증권보통주,2665,0,0,뉴트럴,54139,144280435,549108116760,,-49.1486,,파이낸스
049770,동원F&B보통주,139000,-1.76678445,-2500,셀,2984,414776000,546066038251,,18981.7339,3138,컨슈머 논-듀어러블즈
319660,피에스케이,18750,-0.53050398,-100,바이,482645,9049593750,544958314895.9999,8.00884618,2353.6474,324,프로듀서 매뉴팩처링
030960,양지사,38550,-2.77427491,-1100,셀,171477,6610438350,544635200595.9999,,-297.6101,,코머셜 서비스
210980,SK디앤디보통주,22350,-0.22321429,-50,뉴트럴,18596,415620600,541845330810.9999,,5939.6959,274,콘슈머 듀어러블즈
025980,아난티,6210,0,0,뉴트럴,346042,2148920820,536723479384.9999,,537.0454,622,컨슈머 서비스
060250,엔에이치엔한국사이버결제,13300,-5,-700,뉴트럴,447454,5951138200,536247734070,,853.6359,364,파이낸스
268600,셀리버리,15050,0.66889632,100,바이,292205,4397685250,535862237548.9999,,-1406.6185,,헬쓰 테크놀로지
036830,솔브레인홀딩스,25450,-1.54738878,-400,바이,33895,862627750,534102215004,9.38912466,2753.1853,76,프로세스 인더스트리
017960,한국카본보통주,12150,-2.01612903,-250,뉴트럴,732806,8903592900,533474826050.0001,52.57019499,235.8751,492,프로세스 인더스트리
007460,에이프로젠보통주,688,-1.85449358,-13,셀,5880018,4045452384,533464294495.0001,,-53.9888,69,헬쓰 테크놀로지
000070,삼양홀딩스보통주,66900,-2.47813411,-1700,뉴트럴,20854,1395132600,527344050574,3.31405282,20699.7304,481,프로세스 인더스트리
049070,인탑스,32050,1.42405063,450,바이,318500,10207925000,525819641113,4.48686756,7042.7753,564,일렉트로닉 테크놀로지
235980,메드팩토,24650,-1.00401606,-250,바이,49036,1208737400,524909333038.0001,,-1292.0887,69,헬쓰 테크놀로지
170900,동아에스티보통주,62900,1.77993528,1100,바이,12931,813359900,521657453156,25.45954164,2427.3807,,헬쓰 테크놀로지
084990,헬릭스미스,14400,3.97111913,550,바이,233993,3369499200,521546353531,,-1347.7549,111,헬쓰 테크놀로지
183300,코미코,51900,-0.19230769,-100,바이,34054,1767402600,519117179871,11.04020188,4710.0588,662,일렉트로닉 테크놀로지
082270,젬백스&카엘,13250,1.92307692,250,바이,107840,1428880000,516505565643,,-10.8002,164,프로듀서 매뉴팩처링
277810,레인보우로보틱스,33500,4.6875,1500,스트롱 바이,2457786,82335831000,516326843262,415.65405113,77.2736,49,프로듀서 매뉴팩처링
003520,영진약품보통주,2765,-1.95035461,-55,셀,306246,846770190,515756726074,,-36.4938,629,헬쓰 테크놀로지
097520,엠씨넥스보통주,29250,1.3864818,400,바이,58049,1697933250,514330070686,,2702.985,455,일렉트로닉 테크놀로지
107600,새빗켐,106700,-0.55917987,-600,셀,71265,7603975500,510163000000,,,79,프로세스 인더스트리
005090,SGC에너지보통주,34700,-1.97740113,-700,바이,33644,1167446800,510016360474,,6306.282,,유틸리티
192400,쿠쿠홀딩스보통주,16250,0,0,셀,10245,166481250,505023746490,3.95141669,4112.4491,48,콘슈머 듀어러블즈
950210,프레스티지바이오파마KDR,8330,-0.83333333,-70,뉴트럴,18604,154971320,504807685200,,-3597.2615,64,헬쓰 테크놀로지
091700,파트론,8930,-0.99778271,-90,바이,396641,3542004130,504382314682,,860.5779,463,디스트리뷰션 서비스
009450,경동나비엔보통주,34900,0.43165468,150,뉴트럴,42748,1491905200,502239366293,7.66147676,4524.9702,1493,콘슈머 듀어러블즈
003070,코오롱글로벌보통주,19150,-2.29591837,-450,바이,1067082,20434620300,501056411622,,5784.317,3240,인더스트리얼 서비스
043150,바텍,33850,0.44510386,150,바이,27707,937881950,500588416290,,4592.3785,372,헬쓰 테크놀로지
950130,엑세스바이오,12950,-4.77941176,-650,스트롱 셀,426461,5522669950,493891208000,1.17411314,12395.6779,78,헬쓰 테크놀로지
033640,네패스,21100,-1.17096019,-250,바이,154969,3269845900,492313926125,,,663,프로듀서 매뉴팩처링
131970,두산테스나,34500,2.98507463,1000,바이,390446,13470387000,491474203110,12.58789545,3202.1563,470,코머셜 서비스
015750,성우하이텍,5960,-2.29508197,-140,바이,6628398,39505252080,487948713684,8.21388748,746.0344,1699,프로듀서 매뉴팩처링
101670,하이드로리튬,24300,3.40425532,800,바이,2269383,55146006900,483708751678,,-40.8112,51,프로듀서 매뉴팩처링
034310,NICE보통주,12950,0.3875969,50,바이,27699,358702050,483220603180,10.03644474,1285.3157,50,파이낸스
036420,콘텐트리중앙보통주,25100,-0.59405941,-150,뉴트럴,253128,6353512800,482390065193,,-1000.4801,1494,컨슈머 서비스
069080,웹젠,16150,-1.22324159,-200,뉴트럴,89232,1441096800,481782409573,,2605.4096,547,테크놀로지 서비스
041960,코미팜,7490,-0.39893617,-30,바이,71620,536433800,480433518066,,-55.4036,159,헬쓰 테크놀로지
004360,세방보통주,21650,-9.41422594,-2250,바이,711640,15407006000,479781303406,9.20471104,2596.4965,691,이송/배달
194480,데브시스터즈,45800,1.32743363,600,뉴트럴,153525,7031445000,479727726746,23.36737042,1969.9964,283,테크놀로지 서비스
000400,롯데손해보험보통주,1545,0.32467532,5,바이,43093,66578685,476029471436,,234.6595,1232,파이낸스
289220,자이언트스텝,20600,-4.62962963,-1000,뉴트럴,200146,4123007600,475118426514,,-273.2021,,코머셜 서비스
002240,고려제강보통주,20450,0.49140049,100,바이,18326,374766700,467887755203,3.36914779,6040.1031,831,프로듀서 매뉴팩처링
131290,티에스이,42500,-3.29920364,-1450,뉴트럴,117473,4992602500,467861895132,8.40421767,5229.5171,599,일렉트로닉 테크놀로지
033290,코웰패션,5370,-1.28676471,-70,뉴트럴,161337,866379690,464500512695,,,706,일렉트로닉 테크놀로지
085370,루트로닉,18150,0.83333333,150,셀,95513,1733560950,460043357849,,1740.1164,311,헬쓰 테크놀로지
161000,애경케미칼보통주,9530,-0.1048218,-10,셀,66951,638043030,459569076691,5.05324847,1889.0848,,프로세스 인더스트리
230360,에코마케팅,13850,-4.15224913,-600,스트롱 셀,160934,2228935900,459264777088,,1271.3034,245,코머셜 서비스
299030,하나기술,63500,0.15772871,100,셀,49220,3125470000,458218116379,,-365.8731,217,일렉트로닉 테크놀로지
023160,태광,17650,0,0,바이,363058,6407973700,456556835651,,1205.1959,333,프로듀서 매뉴팩처링
033240,자화전자보통주,23900,-0.41666667,-100,바이,320746,7665829400,455731750488,237.03141851,134.053,546,일렉트로닉 테크놀로지
001720,신영증권보통주,56600,0.35460993,200,바이,1433,81107800,453935140157,10.68037754,5280.7122,677,파이낸스
091120,이엠텍,27200,-0.91074681,-250,셀,92029,2503188800,451806032181,10.57555564,2606.336,412,일렉트로닉 테크놀로지
099190,아이센스,32950,-0.15151515,-50,셀,7582,249826900,449181507111,,1527.8141,771,헬쓰 테크놀로지
089980,상아프론테크,28150,-2.08695652,-600,바이,39060,1099539000,448228105307,,,508,일렉트로닉 테크놀로지
018250,애경산업보통주,17050,-0.29239766,-50,바이,110549,1884860450,448189744949,,857.7412,860,컨슈머 논-듀어러블즈
230240,에치에프알,34400,3.61445783,1200,바이,322726,11101774400,447786494446,8.53485488,3889.9314,181,일렉트로닉 테크놀로지
001060,JW중외제약보통주,21000,3.19410319,650,바이,143197,3007137000,445705204105,,583.6311,1190,헬쓰 테크놀로지
093050,LF보통주,15600,-0.31948882,-50,뉴트럴,20199,315104400,445398985672,3.4943408,4478.6702,,컨슈머 논-듀어러블즈
217270,넵튠,13750,2.23048327,300,바이,128041,1760563750,443066223907,,-4073.409,,테크놀로지 서비스
004430,송원산업보통주,18350,-0.54200542,-100,뉴트럴,131402,2411226700,442800000000,2.96042737,6232.2083,646,프로세스 인더스트리
000370,한화손해보험보통주,3775,0,0,셀,165630,625253250,440242094421,2.73153623,1382.0062,,파이낸스
306200,세아제강보통주,149000,-5.0955414,-8000,셀,43746,6518154000,439615713835,2.89514546,54228.7088,658,비에너지 미네럴
025860,남해화학보통주,9080,-0.65645514,-60,셀,142040,1289723200,438251082687,6.1982671,1474.6057,493,프로세스 인더스트리
014620,성광벤드,15800,2.26537217,350,스트롱 바이,676309,10685682200,431496049690,15.13426444,1020.8623,328,프로듀서 매뉴팩처링
298540,더네이쳐홀딩스,29700,0.33783784,100,바이,43555,1293583500,430521811676,6.11775939,4862.4867,361,컨슈머 논-듀어러블즈
206650,유바이오로직스,11450,-2.96610169,-350,뉴트럴,467710,5355279500,430048745728,111.41314354,105.9121,278,헬쓰 테크놀로지
060150,인선이엔티,9140,-0.54406964,-50,셀,151447,1384225580,427919611664,21.00041498,437.6104,418,인더스트리얼 서비스
290670,대보마그네틱,56600,-0.17636684,-100,셀,88316,4998685600,426466028166,,1684.6762,88,프로듀서 매뉴팩처링
199800,툴젠,52900,-1.30597015,-700,스트롱 셀,7399,391407100,422507044220,,-2606.9525,69,헬쓰 테크놀로지
011930,신성이엔지보통주,2030,-2.1686747,-45,뉴트럴,805650,1635469500,422399438095,,31.9613,437,프로듀서 매뉴팩처링
000230,일동홀딩스보통주,38050,2.83783784,1050,바이,1768969,67309270450,417807345390,,-8261.0114,105,헬쓰 테크놀로지
001530,DI동일보통주,17200,2.68656716,450,바이,112988,1943393600,416872794151,6.77608925,2471.9273,243,프로세스 인더스트리
298000,효성화학보통주,126500,-3.0651341,-4000,셀,19051,2409951500,414702238798,,-101129.9813,1213,프로세스 인더스트리
006730,서부티엔디,7070,-0.70224719,-50,뉴트럴,95053,672024710,413921731262,9.22400947,771.8986,531,에너지 미네랄
099430,바이오플러스,27900,-2.27670753,-650,셀,193034,5385648600,413481530571,31.83253256,897.5484,83,헬쓰 테크놀로지
038500,삼표시멘트,3775,-1.04849279,-40,뉴트럴,115263,435117825,411686909332,23.60353973,161.6283,657,비에너지 미네럴
278650,노터스,5960,1.88034188,110,바이,5541601,33027941960,410993965530,64.14895717,92.717,181,코머셜 서비스
058650,세아홀딩스보통주,110000,5.76923077,6000,스트롱 바이,833,91630000,408634412766,4.55903739,22811.8331,42,비에너지 미네럴
017810,풀무원보통주,11050,-0.45045045,-50,셀,18171,200789550,408156362915,82.77892583,163.0298,452,컨슈머 논-듀어러블즈
138490,코오롱플라스틱보통주,10450,-2.3364486,-250,셀,214667,2243270150,406600000000,,699.9398,370,프로세스 인더스트리
064260,다날,5930,-2.14521452,-130,셀,580493,3442323490,404765529327,34.19166062,288.3304,245,테크놀로지 서비스
159010,아스플로,9910,-1.88118812,-190,바이,95257,943996870,404043000000,,,131,프로듀서 매뉴팩처링
007690,국도화학보통주,46450,0,0,바이,12942,601155900,401352822924,,14219.2479,571,프로세스 인더스트리
007810,코리아써키트보통주,15300,-2.85714286,-450,뉴트럴,298847,4572359100,401310576097,5.1425705,3062.6707,1337,일렉트로닉 테크놀로지
104460,디와이피엔에프,40700,-2.97973778,-1250,셀,18264,743344800,401001010799,,-636.9155,166,프로듀서 매뉴팩처링
118990,모트렉스,16650,-1.18694362,-200,바이,1402105,23345048250,399859844685,18.28135516,921.7041,367,프로듀서 매뉴팩처링
029960,코엔텍,7980,-0.12515645,-10,셀,140467,1120926660,397787878914,10.11732936,789.7341,85,인더스트리얼 서비스
004890,동일산업보통주,185000,0.81743869,1500,바이,8180,1513300000,397474017143,9.30486012,19720.8768,250,비에너지 미네럴
092040,아미코젠,19950,-1.72413793,-350,셀,89862,1792746900,396917332840,,-3128.4996,,헬쓰 테크놀로지
037560,엘지헬로비전보통주,5160,0.97847358,50,바이,205436,1060049760,395753500061,,475.3688,1053,컨슈머 서비스
243840,신흥에스이씨,50700,-0.39292731,-200,셀,37281,1890146700,395148350668,22.28673163,2594.1312,2705,프로듀서 매뉴팩처링
007660,이수페타시스보통주,6060,-2.88461538,-180,뉴트럴,1326821,8040535260,394657648315,9.23693447,675.5488,910,일렉트로닉 테크놀로지
123890,한국자산신탁보통주,3190,-0.62305296,-20,뉴트럴,89199,284544810,392798255539,3.57834998,897.0615,,파이낸스
179290,엠아이텍,12200,0,0,셀,148570,1812554000,391333392334,26.4830451,471.3854,175,헬쓰 테크놀로지
053210,케이티스카이라이프,8220,0,0,뉴트럴,64706,531883320,391016962509,,1213.462,373,컨슈머 서비스
102940,코오롱생명과학,33550,-2.04379562,-700,셀,18355,615810250,390455801010,,-475.6361,447,프로세스 인더스트리
267980,매일유업,51800,0.1934236,100,뉴트럴,10258,531364400,390287529182,8.73005642,5922.0694,2079,컨슈머 논-듀어러블즈
307750,국전약품,7880,-0.75566751,-60,셀,414841,3268947080,389609073486,106.0334927,74.882,125,파이낸스
145990,삼양사보통주,38300,-1.9206146,-750,뉴트럴,13088,501270400,389183660330,8.91424395,4380.6295,,컨슈머 논-듀어러블즈
058610,에스피지,18450,1.37362637,250,스트롱 바이,1695308,31278432600,389070093155,,1093.3193,396,프로듀서 매뉴팩처링
006390,한일현대시멘트보통주,19950,-0.74626866,-150,뉴트럴,8976,179071200,388486188126,11.55865535,2225.3388,438,비에너지 미네럴
183190,아세아시멘트보통주,9540,-3.14720812,-310,셀,103029,982896660,383724090004,1.31529491,7488.8148,485,비에너지 미네럴
256840,한국비엔씨,5780,-0.51635112,-30,뉴트럴,1094737,6327579860,383658672638,,-3593.9659,172,리테일 트레이드
104830,원익머트리얼즈,31750,4.44078947,1350,바이,237738,7548181500,383283193970,7.07291621,4298.0857,461,프로세스 인더스트리
008490,서흥보통주,34000,-1.30624093,-450,셀,7803,265302000,383053441763,9.47967013,3634.0927,871,프로세스 인더스트리
003800,에이스침대,37450,0.40214477,150,바이,456,17077200,382397566986,6.15437536,6060.7288,612,콘슈머 듀어러블즈
001820,삼화콘덴서공업보통주,37150,-0.1344086,-50,바이,43925,1631813750,381709188080,13.6358248,2728.1078,631,일렉트로닉 테크놀로지
051500,씨제이프레시웨이,31450,-1.10062893,-350,셀,42510,1336939500,377516429901,,4856.0589,6276,디스트리뷰션 서비스
003220,대원제약보통주,17750,0,0,바이,141534,2512228500,376627531052,10.88669126,1637.5465,1043,헬쓰 테크놀로지
102460,이연제약보통주,20650,-2.59433962,-550,뉴트럴,52989,1094222850,376358470154,159.48039482,150.9625,501,헬쓰 테크놀로지
243070,휴온스,31600,-0.62893082,-200,뉴트럴,19360,611776000,376021377182,,1480.5815,814,헬쓰 테크놀로지
041190,우리기술투자,4730,-1.56087409,-75,셀,703658,3328302340,374170898743,0.91925519,5227.0578,12,파이낸스
033270,한국유나이티드제약 보통주,24600,-2.38095238,-600,뉴트럴,53160,1307736000,374049882889,7.16313075,3523.1684,824,헬쓰 테크놀로지
085620,미래에셋생명보험보통주,2835,-1.04712042,-30,뉴트럴,28489,80766315,373813777771,3.7343076,812.1867,887,파이낸스
151860,케이지이티에스,10700,-2.28310502,-250,셀,405003,4333532100,372678820610,,-2657.7529,160,프로듀서 매뉴팩처링
061970,엘비세미콘,8320,-1.77095632,-150,뉴트럴,203103,1689816960,370855523796,,854.8752,618,일렉트로닉 테크놀로지
115450,에이치엘비테라퓨틱스,12000,0.41841004,50,셀,126243,1514916000,370755583286,,-439.2921,112,디스트리뷰션 서비스
319400,현대무벡스,3255,1.24416796,40,바이,5887906,19165134030,369664414597,30.7426624,104.5778,369,프로듀서 매뉴팩처링
286940,롯데정보통신보통주,24000,-0.82644628,-200,셀,28415,681960000,366130678368,,1020.9079,2885,코머셜 서비스
005180,빙그레보통주,41300,-0.12091898,-50,바이,5489,226695700,365608458519,,-2351.4933,1827,컨슈머 논-듀어러블즈
179900,유티아이,22700,-1.73160173,-400,바이,44537,1010989900,365478782845,87.99711705,262.5086,156,프로세스 인더스트리
053030,바이넥스,11700,-0.42553191,-50,뉴트럴,165981,1941977700,363363295078,22.25753119,527.9112,524,헬쓰 테크놀로지
035600,케이지이니시스,13400,-1.83150183,-250,뉴트럴,150762,2020210800,363342365456,,,234,파이낸스
360070,탑머티리얼,47000,3.2967033,1500,바이,695609,32693623000,363288000000,,,43,프로듀서 매뉴팩처링
030610,교보증권보통주,5660,-0.87565674,-50,셀,15989,90497740,362925887070,3.80837129,1499.3286,,파이낸스
027410,BGF보통주,3655,-2.79255319,-105,뉴트럴,105669,386220195,359864949341,7.2965377,515.3129,117,이송/배달
140410,메지온,13450,0,0,셀,126892,1706697400,359680138683,,-1064.6232,60,헬쓰 테크놀로지
003280,흥아해운보통주,1485,-0.66889632,-10,스트롱 셀,165302,245473470,359195945969,,-94.0163,344,이송/배달
090710,휴림로봇,2195,0.2283105,5,뉴트럴,8320186,18262808270,358577813416,,-116.593,63,프로듀서 매뉴팩처링
005390,신성통상보통주,2450,-1.80360721,-45,셀,208098,509840100,358552431259,4.67759468,533.3938,899,컨슈머 논-듀어러블즈
092220,케이이씨 보통주,2425,-1.42276423,-35,스트롱 셀,1392469,3376737325,356117319031,39.8981462,115.6018,622,일렉트로닉 테크놀로지
006110,삼아알미늄보통주,31400,-2.48447205,-800,바이,89718,2817145200,354200000000,23.64828045,1361.6212,306,비에너지 미네럴
101160,월덱스,21150,-0.47058824,-100,바이,59725,1263183750,350858581066,9.47909242,2241.7758,283,프로듀서 매뉴팩처링
047920,에이치엘비제약,12450,-0.79681275,-100,셀,115040,1432248000,349775643826,,-405.4185,153,헬쓰 테크놀로지
038540,상상인,6260,-1.41732283,-90,셀,166306,1041075560,347497418022,3.40128858,1871.9766,167,파이낸스
053690,한미글로벌건축사사무소보통주,34950,-4.63847203,-1700,셀,2479664,86664256800,347132307053,22.47305242,1630.8421,1002,인더스트리얼 서비스
108670,엘엑스하우시스보통주,36250,-1.49456522,-550,뉴트럴,15341,556111250,347015867555,,-4931.9374,3318,프로세스 인더스트리
126720,수산인더스트리보통주,23700,-2.26804124,-550,뉴트럴,108273,2566070100,346436000000,,,,인더스트리얼 서비스
095610,테스,18400,-0.54054054,-100,바이,105894,1948449600,346330149651,6.59714935,2804.2415,388,프로듀서 매뉴팩처링
102710,이엔에프테크놀로지,24300,0.82987552,200,바이,55668,1352732400,344336849403,8.301124,2903.4708,535,프로세스 인더스트리
310210,보로노이,28500,1.42348754,400,바이,354516,10103706000,344109000000,,-1499.509,71,헬쓰 테크놀로지
009160,SIMPAC보통주,5960,-3.24675325,-200,셀,232958,1388429680,344101575012,2.61337885,2357.1018,511,비에너지 미네럴
281820,케이씨텍보통주,16100,-2.12765957,-350,뉴트럴,31547,507906700,343093984795,6.16701684,2667.4161,732,프로듀서 매뉴팩처링
002150,도화엔지니어링보통주,10150,-0.97560976,-100,바이,817321,8295808150,341294493675,21.23721157,482.6434,2341,인더스트리얼 서비스
074610,이엔플러스보통주,5900,1.02739726,60,바이,5169548,30500333200,340692768860,,-358.8026,89,콘슈머 듀어러블즈
036810,에프에스티,16750,-2.89855072,-500,뉴트럴,218522,3660243500,340054535866,63.9835134,269.6007,604,프로듀서 매뉴팩처링
119610,인터로조,26400,0.95602294,250,바이,14681,387578400,339968105412,,,550,헬쓰 테크놀로지
030520,한글과컴퓨터,13650,-3.5335689,-500,셀,87230,1190689500,339869565964,11.1033819,1378.2057,381,테크놀로지 서비스
007570,일양약품보통주,18750,0.53619303,100,뉴트럴,43924,823575000,339526592350,15.97488423,1167.4576,636,헬쓰 테크놀로지
071840,롯데하이마트보통주,14400,-1.36986301,-200,바이,35675,513720000,337781418228,,-21900.2579,3650,리테일 트레이드
097230,HJ중공업보통주,4580,12.94697904,525,바이,755940,3462205200,337653123016,,-1205.7044,2035,인더스트리얼 서비스
001390,KG케미칼보통주,23850,-2.45398773,-600,셀,86487,2062714950,337310929298,,-19530.7147,199,프로세스 인더스트리
293780,압타바이오,14650,-2.65780731,-400,뉴트럴,220532,3230793800,335597908688,,-574.0208,21,헬쓰 테크놀로지
002310,아세아제지보통주,36850,-0.80753701,-300,바이,27508,1013669800,332734047842,3.86471661,9612.6065,260,프로세스 인더스트리
033500,동성화인텍,11600,0.43290043,50,바이,265502,3079823200,332728793621,25.76767596,457.8848,459,프로세스 인더스트리
328130,루닛,26650,-1.66051661,-450,바이,91943,2450280950,331256000000,,-3643.4152,256,테크놀로지 서비스
001880,DL건설보통주,15150,1,150,뉴트럴,15641,236961150,330735311508,,3808.3543,1248,인더스트리얼 서비스
048530,인트론바이오테크놀로지,9400,-2.89256198,-280,셀,181117,1702499800,329938766174,,465.9542,102,헬쓰 테크놀로지
003300,한일홀딩스보통주,11200,4.6728972,500,바이,10976,122931200,329911857033,11.8563025,902.4736,28,비에너지 미네럴
002900,티와이엠보통주,2265,2.02702703,45,셀,2487775,5634810375,329633246155,,807.5759,617,프로듀서 매뉴팩처링
075580,세진중공업보통주,5930,-1.33111481,-80,뉴트럴,256457,1520790010,329472852211,,-138.3206,276,프로듀서 매뉴팩처링
078130,국일제지,2530,-1.9379845,-50,바이,753880,1907316400,329253091736,,-67.2005,207,프로세스 인더스트리
013120,동원개발,3670,1.24137931,45,바이,87353,320585510,329179327011,4.85147202,747.1959,240,파이낸스
077970,STX엔진보통주,14000,-2.0979021,-300,바이,143155,2004170000,328894381332,179.36994738,79.7235,874,프로듀서 매뉴팩처링
217330,싸이토젠,18450,-0.27027027,-50,스트롱 셀,103102,1902231900,328873414040,,-1019.217,,헬쓰 테크놀로지
080580,오킨스전자,18900,1.61290323,300,바이,36193,684047700,328834950256,127.23072745,146.1911,134,일렉트로닉 테크놀로지
034830,한국토지신탁보통주,1435,-0.34722222,-5,바이,350689,503238715,328381105957,3.04489314,472.923,,파이낸스
012630,HDC보통주,5970,0,0,뉴트럴,49542,295765740,327287718773,,-455.3272,11,파이낸스
213500,한솔제지보통주,13700,-0.36363636,-50,셀,66091,905446700,326949905052,,2847.8506,1191,프로세스 인더스트리
122900,아이마켓코리아보통주,10250,-0.96618357,-100,스트롱 셀,29064,297906000,325655921173,,888.2934,427,리테일 트레이드
002020,코오롱보통주,24150,-0.41237113,-100,셀,37505,905745750,324920010757,2.52025576,9734.0854,64,리테일 트레이드
002960,한국쉘석유보통주,248500,-0.4008016,-1000,셀,763,189605500,324349988103,10.99310232,22696.05,108,에너지 미네랄
068400,에스케이렌터카보통주,7010,-1.82072829,-130,뉴트럴,17238,120838380,324213099518,,488.3427,647,파이낸스
060980,HL홀딩스보통주,31750,-0.47021944,-150,셀,19045,604678750,322832955170,5.81063346,5489.935,255,이송/배달
115390,락앤락보통주,6460,-2.26928896,-150,셀,54650,353039000,322192667465,38.69035773,170.8436,534,프로세스 인더스트리
281740,레이크머티리얼즈,4760,-2.85714286,-140,스트롱 셀,1114140,5303306400,322079483795,,346.9894,223,일렉트로닉 테크놀로지
029530,신도리코보통주,33050,0.60882801,200,스트롱 바이,6867,226954350,320071648693,2.53793771,12943.5801,434,일렉트로닉 테크놀로지
067000,조이시티,4620,-0.64516129,-30,바이,1570287,7254725940,318588893509,,-30.1884,279,테크놀로지 서비스
